Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,Netherlands,50223,6107,0,44116,Netherlands,293.1040108,12.15976744
,New Zealand,1528,22,1484,22,New Zealand,31.68656512,1.439790576
,Nicaragua,2170,74,1238,858,Nicaragua,32.7569222,3.410138249
,Niger,1075,67,939,69,Niger,4.440930991,6.23255814
,Nigeria,25133,573,9402,15158,Nigeria,12.1922239,2.279871086
,North Macedonia,6209,298,2427,3484,North Macedonia,298.0253242,4.799484619
,Norway,8862,249,8138,475,Norway,163.4680761,2.809749492
,Oman,39060,169,22422,16469,Oman,764.8891968,0.432667691
,Panama,32785,620,15595,16570,Panama,759.8322784,1.891108739
,Papua New Guinea,11,0,8,3,Papua New Guinea,0.122945868,0
,Paraguay,2191,16,1080,1095,Paraguay,30.71841268,0.730260155
,Philippines,36438,1255,9956,25227,Philippines,33.25208908,3.444206598
,Poland,34154,1444,20897,11813,Poland,90.24323318,4.227908883
,Portugal,41912,1568,27205,13139,Portugal,411.0346605,3.741171979
,Qatar,95106,113,80170,14823,Qatar,3301.076687,0.118814796
,Romania,26582,1634,18912,6036,Romania,138.1767304,6.147016778
,Rwanda,1001,2,443,556,Rwanda,7.728411424,0.1998002
,Saint Kitts and Nevis,15,0,15,0,Saint Kitts and Nevis,28.19972928,0
,Saint Lucia,19,0,19,0,Saint Lucia,10.34694956,0
,Saint Vincent and the Grenadines,29,0,29,0,Saint Vincent and the Grenadines,26.13860672,0
,San Marino,698,42,656,0,San Marino,2056.691614,6.017191977
,Sao Tome and Principe,713,13,235,465,Sao Tome and Principe,325.3316055,1.823281907
,Saudi Arabia,186436,1599,127118,57719,Saudi Arabia,535.5222389,0.857666974
,Senegal,6698,108,4341,2249,Senegal,40.00255615,1.612421618
,Serbia,14288,274,12581,1433,Serbia,163.5274688,1.917693169
,Seychelles,77,0,11,66,Seychelles,78.29977629,0
,Sierra Leone,1450,60,961,429,Sierra Leone,18.1772938,4.137931034
,Singapore,43661,26,37985,5650,Singapore,746.298123,0.059549713
,Slovakia,1665,28,1464,173,Slovakia,30.4964995,1.681681682
,Slovenia,1585,111,1384,90,Slovenia,76.24106993,7.003154574
,Somalia,2904,90,910,1904,Somalia,18.27194353,3.099173554
,South Africa,144264,2529,70614,71121,South Africa,243.2426007,1.7530361
,South Sudan,1989,36,246,1707,South Sudan,17.76887756,1.809954751
,Sri Lanka,2039,11,1678,350,Sri Lanka,9.522141665,0.539480137
,Sudan,9257,572,4014,4671,Sudan,21.11095626,6.179107702
,Suriname,501,13,217,271,Suriname,85.40248264,2.594810379
,Switzerland,31652,1962,29100,590,Switzerland,365.7238251,6.198660432
,Syria,269,9,102,158,Syria,1.537085151,3.345724907
,Taiwan*,447,7,435,5,Taiwan*,1.876828412,1.565995526
,Tajikistan,5900,52,4506,1342,Tajikistan,61.86015369,0.881355932
,Tanzania,509,21,183,305,Tanzania,0.852107987,4.125736739
,Thailand,3169,58,3053,58,Thailand,4.540116044,1.830230357
,Timor-Leste,24,0,24,0,Timor-Leste,1.82033036,0
,Togo,643,14,401,228,Togo,7.766885214,2.177293935
,Trinidad and Tobago,126,8,109,9,Trinidad and Tobago,9.003273333,6.349206349
,Tunisia,1172,50,1029,93,Tunisia,9.91655708,4.266211604
,Turkey,198613,5115,171809,21689,Turkey,235.4934754,2.575360122
,Uganda,870,0,808,62,Uganda,1.902013511,0
,United Arab Emirates,48246,314,37076,10856,United Arab Emirates,487.8063577,0.650831157
,Uruguay,932,27,822,83,Uruguay,26.82997253,2.896995708
,Uzbekistan,8222,23,5496,2703,Uzbekistan,24.56587025,0.27973729
,Venezuela,5530,48,1649,3833,Venezuela,19.44721861,0.867992767
